------ Begin Next Fly'm ------


"Begin Fly'm (Tue May 04 16:05:02 2021)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 10000"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","NO ","NO ","NO ","NO ","YES","YES","NO "


"Ion N","Mass","X","Y","Z","Azm","Elv","Vx","Vy","Vz","KE"

1,28,168.68,140.993,150,90.5518,-0.24467,-0.253913,-0.112588,-26.3639,100.863
2,28,165.464,135.467,150,90.2913,0.614891,-0.134037,0.282954,-26.3644,100.871
3,28,158.779,139.526,150,89.1972,0.117932,0.369489,0.0542818,-26.3696,100.916
4,28,160.266,140.37,150,89.6962,-0.0841706,0.139814,-0.0387366,-26.368,100.887
5,28,164.252,144.431,150,90.173,-0.99449,-0.0796229,-0.457768,-26.3707,100.936
6,28,161.442,137.331,150,89.7609,0.231392,0.110027,0.106477,-26.3647,100.862
7,28,165.159,142.251,150,90.0898,-0.236283,-0.0413485,-0.108746,-26.3695,100.897
8,28,165.102,143.593,150,90.1252,-0.444921,-0.0576136,-0.204754,-26.367,100.883
9,28,164.716,138.955,150,90.0462,0.0368096,-0.0212773,0.016944,-26.3741,100.931
10,28,165.102,143.278,150,90.11,-0.377538,-0.0506116,-0.173744,-26.3673,100.883
11,28,159.435,140.752,150,89.0702,-0.45994,0.427869,-0.211666,-26.3637,100.884
12,28,160.152,139.321,150,89.6797,0.0347981,0.14742,0.0160152,-26.369,100.894
13,28,163.891,144.549,150,89.9141,-0.994132,0.0395578,-0.457619,-26.3717,100.943
14,28,161.906,136.333,150,89.4094,0.781542,0.27177,0.359634,-26.3622,100.869
15,28,159.033,139.863,150,88.8707,0.109529,0.519811,0.0504187,-26.3695,100.935
16,28,168.773,139.224,150,90.518,0.0898837,-0.238375,0.0413675,-26.3683,100.895
17,28,167.359,137.342,150,90.6716,0.588106,-0.308998,0.270616,-26.3618,100.861
18,28,168.267,141.57,150,90.5083,-0.331826,-0.233873,-0.152685,-26.3626,100.853
19,28,165.527,142.851,150,90.6026,-1.08851,-0.277264,-0.500912,-26.3618,100.884
20,28,166.017,138.872,150,90.1408,0.0521221,-0.064801,0.0239891,-26.3701,100.901
21,28,160.046,141.552,150,89.1835,-0.625592,0.375717,-0.287876,-26.3618,100.869
22,28,164.644,144.088,150,90.3024,-0.98137,-0.139137,-0.451627,-26.3646,100.89
23,28,164.212,135.017,150,90.1982,1.0299,-0.0912287,0.474074,-26.3709,100.94
24,28,162.661,135.804,150,89.824,0.422529,0.080984,0.194431,-26.3646,100.864
25,28,161.781,136.744,150,89.768,0.302605,0.106742,0.13924,-26.3635,100.854
26,28,169.221,139.752,150,90.9573,0.0872427,-0.440638,0.0401591,-26.3704,100.931
27,28,166.346,141.898,150,90.8637,-1.04321,-0.397354,-0.48003,-26.3587,100.869
